GeneFusion	known	n	std1	std2	run	config	barcode	log_n	std_avg	log_std_avg	Identifier	isTrue
ETV6::RUNX1	True	11	66300	329125	Run1	sup	barcode15	1.0791812460476249	197712.5	5.296036324221802	ETV6::RUNX1_barcode15	False
RUNX1::RUNX1T1	True	8	45381	288891	Run1	sup	barcode15	0.9542425094393249	167136.0	5.2230726025987835	RUNX1::RUNX1T1_barcode15	False
KMT2A::MLLT10	True	2	40547	22019	Run1	sup	barcode15	0.47712125471966244	31283.0	4.495322277215954	KMT2A::MLLT10_barcode15	False
RUNX1::RUNX1T1	True	2	33045	123058	Run1	sup	barcode16	0.47712125471966244	78051.5	4.8923868179534225	RUNX1::RUNX1T1_barcode16	False
ETV6::RUNX1	True	3	52370	177357	Run2	fast	barcode41	0.6020599913279624	114863.5	5.060185826457477	ETV6::RUNX1_barcode41	False
ETV6::RUNX1	True	10	86804	351350	Run2	fast	barcode42	1.0413926851582251	219077.0	5.340598767527295	ETV6::RUNX1_barcode42	False
ETV6::RUNX1	True	13	67299	266523	Run2	fast	barcode43	1.146128035678238	166911.0	5.22248756104377	ETV6::RUNX1_barcode43	False
RUNX1::RUNX1T1	True	8	58791	342438	Run2	fast	barcode43	0.9542425094393249	200614.5	5.302364484538911	RUNX1::RUNX1T1_barcode43	False
KMT2A::MLLT1	True	3	13692	24906	Run2	fast	barcode43	0.6020599913279624	19299.0	4.285557309007774	KMT2A::MLLT1_barcode43	False
ABL1::BCR	True	2	49555	33839	Run2	fast	barcode43	0.47712125471966244	41697.0	4.62011522500268	ABL1::BCR_barcode43	False
ETV6::RUNX1	True	5	72205	339234	Run2	fast	barcode44	0.7781512503836436	205719.5	5.313277571195314	ETV6::RUNX1_barcode44	False
RUNX1::RUNX1T1	True	137	5968	19546	Run2	fast	barcode45	2.1398790864012365	12757.0	4.105782597814442	RUNX1::RUNX1T1_barcode45	True
ETV6::RUNX1	True	2	5594	436170	Run2	fast	barcode45	0.47712125471966244	220882.0	5.344162292194218	ETV6::RUNX1_barcode45	False
ETV6::RUNX1	True	8	70314	411519	Run2	fast	barcode46	0.9542425094393249	240916.5	5.3818683478497045	ETV6::RUNX1_barcode46	False
RUNX1::RUNX1T1	True	5	37104	362307	Run2	fast	barcode46	0.7781512503836436	199705.5	5.300392200414979	RUNX1::RUNX1T1_barcode46	False
KMT2A::MLLT3	True	320	1453	1252	Run2	fast	barcode47	2.506505032404872	1352.5	3.131458260106525	KMT2A::MLLT3_barcode47	True
ETV6::RUNX1	True	8	62164	346772	Run2	fast	barcode47	0.9542425094393249	204468.0	5.310627472981626	ETV6::RUNX1_barcode47	False
RUNX1::RUNX1T1	True	4	42307	218730	Run2	fast	barcode47	0.6989700043360189	130518.5	5.115675401404093	RUNX1::RUNX1T1_barcode47	False
ETV6::RUNX1	True	6	41379	393953	Run2	fast	barcode48	0.8450980400142568	217666.0	5.337792591630678	ETV6::RUNX1_barcode48	False
RUNX1::RUNX1T1	True	4	34043	157889	Run2	fast	barcode48	0.6989700043360189	95966.0	4.982121918646532	RUNX1::RUNX1T1_barcode48	False
ETV6::RUNX1	True	10	60486	311889	Run2	fast	barcode49	1.0413926851582251	186187.5	5.269952853118048	ETV6::RUNX1_barcode49	False
RUNX1::RUNX1T1	True	6	40838	428392	Run2	fast	barcode49	0.8450980400142568	234615.0	5.370357626171522	RUNX1::RUNX1T1_barcode49	False
EBF1::PDGFRB	True	2	6340	136248	Run2	fast	barcode49	0.47712125471966244	71294.0	4.8530590733504395	EBF1::PDGFRB_barcode49	False
KMT2A::MLLT3	True	2	10806	27644	Run2	fast	barcode49	0.47712125471966244	19225.0	4.283888937976056	KMT2A::MLLT3_barcode49	False
ETV6::RUNX1	True	29	64701	292412	Run2	fast	barcode50	1.4771212547196624	178556.5	5.251778096703019	ETV6::RUNX1_barcode50	False
RUNX1::RUNX1T1	True	17	46769	325798	Run2	fast	barcode50	1.255272505103306	186283.5	5.270176720465136	RUNX1::RUNX1T1_barcode50	False
KMT2A::MLLT3	True	5	84572	13692	Run2	fast	barcode50	0.7781512503836436	49132.0	4.69137328242647	KMT2A::MLLT3_barcode50	False
ETV6::RUNX1	True	12	53179	377016	Run2	fast	barcode51	1.1139433523068367	215097.5	5.33263738182403	ETV6::RUNX1_barcode51	False
RUNX1::RUNX1T1	True	3	8502	184254	Run2	fast	barcode51	0.6020599913279624	96378.0	4.983982415877464	RUNX1::RUNX1T1_barcode51	False
KMT2A::MLLT3	True	2	32216	17074	Run2	fast	barcode51	0.47712125471966244	24645.0	4.39174644414508	KMT2A::MLLT3_barcode51	False
RUNX1::RUNX1T1	True	219	8474	75851	Run2	fast	barcode52	2.342422680822206	42162.5	4.624936654566822	RUNX1::RUNX1T1_barcode52	True
ETV6::RUNX1	True	10	47422	261079	Run2	fast	barcode52	1.0413926851582251	154250.5	5.18822939596982	ETV6::RUNX1_barcode52	False
ABL1::BCR	True	293	1218	1625	Run2	fast	barcode53	2.4683473304121573	1421.5	3.153052275067109	ABL1::BCR_barcode53	True
ETV6::RUNX1	True	20	75152	333421	Run2	fast	barcode53	1.3222192947339193	204286.5	5.310241793714649	ETV6::RUNX1_barcode53	False
RUNX1::RUNX1T1	True	12	44980	389354	Run2	fast	barcode53	1.1139433523068367	217167.0	5.336795831748887	RUNX1::RUNX1T1_barcode53	False
KMT2A::MLLT10	True	2	31798	23297	Run2	fast	barcode53	0.47712125471966244	27547.5	4.440097956746503	KMT2A::MLLT10_barcode53	False
ETV6::RUNX1	True	20	50565	287920	Run2	fast	barcode54	1.3222192947339193	169242.5	5.228511998075998	ETV6::RUNX1_barcode54	False
RUNX1::RUNX1T1	True	12	39721	372368	Run2	fast	barcode54	1.1139433523068367	206044.5	5.313963134043769	RUNX1::RUNX1T1_barcode54	False
ABL1::BCR	True	2	2336	480	Run2	fast	barcode54	0.47712125471966244	1408.0	3.1489109931093564	ABL1::BCR_barcode54	False
KMT2A::MLLT10	True	2	739	9914	Run2	fast	barcode54	0.47712125471966244	5326.5	3.7265234583862394	KMT2A::MLLT10_barcode54	False
PML::RARA	True	188	1479	1637	Run2	fast	barcode56	2.2764618041732443	1558.0	3.192846115188842	PML::RARA_barcode56	True
ETV6::RUNX1	True	11	55068	352386	Run2	fast	barcode56	1.0791812460476249	203727.0	5.309050721733665	ETV6::RUNX1_barcode56	False
RUNX1::RUNX1T1	True	6	27448	401945	Run2	fast	barcode56	0.8450980400142568	214696.5	5.331826987414702	RUNX1::RUNX1T1_barcode56	False
KMT2A::MLLT3	True	2	92613	12089	Run2	fast	barcode56	0.47712125471966244	52351.0	4.71893327765521	KMT2A::MLLT3_barcode56	False
ETV6::RUNX1	True	36	74562	304676	Run2	fast	barcode55	1.568201724066995	189619.0	5.2778841422402	ETV6::RUNX1_barcode55	False
RUNX1::RUNX1T1	True	23	48472	378990	Run2	fast	barcode55	1.380211241711606	213731.0	5.329869549693346	RUNX1::RUNX1T1_barcode55	False
KMT2A::MLLT3	True	5	85681	28793	Run2	fast	barcode55	0.7781512503836436	57237.0	4.75768445031243	KMT2A::MLLT3_barcode55	False
EBF1::PDGFRB	True	4	12867	62787	Run2	fast	barcode55	0.6989700043360189	37827.0	4.57781338036425	EBF1::PDGFRB_barcode55	False
KMT2A::MLLT10	True	4	27592	13700	Run2	fast	barcode55	0.6989700043360189	20646.0	4.314856957779571	KMT2A::MLLT10_barcode55	False
ABL1::BCR	True	2	37387	122	Run2	fast	barcode55	0.47712125471966244	18754.5	4.273128646431102	ABL1::BCR_barcode55	False
ETV6::RUNX1	True	4	59806	333589	Run2	hac	barcode42	0.6989700043360189	196697.5	5.2938010480525	ETV6::RUNX1_barcode42	False
ETV6::RUNX1	True	5	68042	314151	Run2	hac	barcode43	0.7781512503836436	191096.5	5.281255005509713	ETV6::RUNX1_barcode43	False
ETV6::RUNX1	True	2	53613	249864	Run2	hac	barcode44	0.47712125471966244	151738.5	5.181098648677576	ETV6::RUNX1_barcode44	False
RUNX1::RUNX1T1	True	147	1691	350	Run2	hac	barcode45	2.1702617153949575	1020.5	3.0092383709684665	RUNX1::RUNX1T1_barcode45	True
ETV6::RUNX1	True	2	44667	300259	Run2	hac	barcode45	0.47712125471966244	172463.0	5.236698454580237	ETV6::RUNX1_barcode45	False
ETV6::RUNX1	True	3	40632	473628	Run2	hac	barcode46	0.6020599913279624	257130.0	5.410154438826219	ETV6::RUNX1_barcode46	False
RUNX1::RUNX1T1	True	3	48741	127770	Run2	hac	barcode46	0.6020599913279624	88255.5	4.945746700577452	RUNX1::RUNX1T1_barcode46	False
KMT2A::MLLT3	True	406	1492	1246	Run2	hac	barcode47	2.60959440922522	1369.0	3.1367205671564067	KMT2A::MLLT3_barcode47	True
ETV6::RUNX1	True	2	53888	310121	Run2	hac	barcode47	0.47712125471966244	182004.5	5.260084512070566	ETV6::RUNX1_barcode47	False
RUNX1::RUNX1T1	True	2	14766	2771	Run2	hac	barcode47	0.47712125471966244	8768.5	3.9429748324274723	RUNX1::RUNX1T1_barcode47	False
